# xllcorner: -4898605.33
# yllcorner: 5511799.73
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.57
# longitude: -67.93
# site: 31_15
# product: MOD13Q1
# start: 2014-01-01
# end: 2014-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2014001,2014-01-01,250m_16_days_blue_reflectance,h13v04,2015272061146,1,2181
A2014001,2014-01-01,250m_16_days_MIR_reflectance,h13v04,2015272061146,1,400
A2014001,2014-01-01,250m_16_days_NIR_reflectance,h13v04,2015272061146,1,2481
A2014001,2014-01-01,250m_16_days_pixel_reliability,h13v04,2015272061146,1,2
A2014001,2014-01-01,250m_16_days_red_reflectance,h13v04,2015272061146,1,1893
A2014001,2014-01-01,250m_16_days_relative_azimuth_angle,h13v04,2015272061146,1,-6279
A2014001,2014-01-01,250m_16_days_sun_zenith_angle,h13v04,2015272061146,1,7481
A2014001,2014-01-01,250m_16_days_view_zenith_angle,h13v04,2015272061146,1,3936
A2014001,2014-01-01,250m_16_days_VI_Quality,h13v04,2015272061146,1,20757
A2014001,2014-01-01,250m_16_days_NDVI,h13v04,2015272061146,1,1344
A2014001,2014-01-01,250m_16_days_EVI,h13v04,2015272061146,1,1022
A2014001,2014-01-01,250m_16_days_composite_day_of_the_year,h13v04,2015272061146,1,2
A2014017,2014-01-17,250m_16_days_blue_reflectance,h13v04,2015273225942,1,4045
A2014017,2014-01-17,250m_16_days_MIR_reflectance,h13v04,2015273225942,1,491
A2014017,2014-01-17,250m_16_days_NIR_reflectance,h13v04,2015273225942,1,4245
A2014017,2014-01-17,250m_16_days_pixel_reliability,h13v04,2015273225942,1,2
A2014017,2014-01-17,250m_16_days_red_reflectance,h13v04,2015273225942,1,3418
A2014017,2014-01-17,250m_16_days_relative_azimuth_angle,h13v04,2015273225942,1,-5756
A2014017,2014-01-17,250m_16_days_sun_zenith_angle,h13v04,2015273225942,1,7182
A2014017,2014-01-17,250m_16_days_view_zenith_angle,h13v04,2015273225942,1,5540
A2014017,2014-01-17,250m_16_days_VI_Quality,h13v04,2015273225942,1,18453
