# xllcorner: -4882389.35
# yllcorner: 5496278.79
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.43
# longitude: -67.51
# site: 73_1
# product: MOD13Q1
# start: 2015-01-01
# end: 2015-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2015001,2015-01-01,250m_16_days_blue_reflectance,h13v04,2015295101425,1,2744
A2015001,2015-01-01,250m_16_days_MIR_reflectance,h13v04,2015295101425,1,512
A2015001,2015-01-01,250m_16_days_NIR_reflectance,h13v04,2015295101425,1,4465
A2015001,2015-01-01,250m_16_days_pixel_reliability,h13v04,2015295101425,1,2
A2015001,2015-01-01,250m_16_days_red_reflectance,h13v04,2015295101425,1,3519
A2015001,2015-01-01,250m_16_days_relative_azimuth_angle,h13v04,2015295101425,1,11537
A2015001,2015-01-01,250m_16_days_sun_zenith_angle,h13v04,2015295101425,1,7142
A2015001,2015-01-01,250m_16_days_view_zenith_angle,h13v04,2015295101425,1,4440
A2015001,2015-01-01,250m_16_days_VI_Quality,h13v04,2015295101425,1,20501
A2015001,2015-01-01,250m_16_days_NDVI,h13v04,2015295101425,1,1184
A2015001,2015-01-01,250m_16_days_EVI,h13v04,2015295101425,1,1315
A2015001,2015-01-01,250m_16_days_composite_day_of_the_year,h13v04,2015295101425,1,11
A2015017,2015-01-17,250m_16_days_blue_reflectance,h13v04,2015295115329,1,3803
A2015017,2015-01-17,250m_16_days_MIR_reflectance,h13v04,2015295115329,1,486
A2015017,2015-01-17,250m_16_days_NIR_reflectance,h13v04,2015295115329,1,3758
A2015017,2015-01-17,250m_16_days_pixel_reliability,h13v04,2015295115329,1,2
A2015017,2015-01-17,250m_16_days_red_reflectance,h13v04,2015295115329,1,3048
A2015017,2015-01-17,250m_16_days_relative_azimuth_angle,h13v04,2015295115329,1,-5879
A2015017,2015-01-17,250m_16_days_sun_zenith_angle,h13v04,2015295115329,1,6997
A2015017,2015-01-17,250m_16_days_view_zenith_angle,h13v04,2015295115329,1,1307
A2015017,2015-01-17,250m_16_days_VI_Quality,h13v04,2015295115329,1,18449
A2015017,2015-01-17,250m_16_days_NDVI,h13v04,2015295115329,1,1043
A2015017,2015-01-17,250m_16_days_EVI,h13v04,2015295115329,1,1056
A2015017,2015-01-17,250m_16_days_composite_day_of_the_year,h13v04,2015295115329,1,26
A2015033,2015-02-02,250m_16_days_blue_reflectance,h13v04,2015296122945,1,2364
A2015033,2015-02-02,250m_16_days_MIR_reflectance,h13v04,2015296122945,1,486
A2015033,2015-02-02,250m_16_days_NIR_reflectance,h13v04,2015296122945,1,4648
A2015033,2015-02-02,250m_16_days_pixel_reliability,h13v04,2015296122945,1,2
A2015033,2015-02-02,250m_16_days_red_reflectance,h13v04,2015296122945,1,3846
A2015033,2015-02-02,250m_16_days_relative_azimuth_angle,h13v04,2015296122945,1,-5853
A2015033,2015-02-02,250m_16_days_sun_zenith_angle,h13v04,2015296122945,1,6813
A2015033,2015-02-02,250m_16_days_view_zenith_angle,h13v04,2015296122945,1,3755
A2015033,2015-02-02,250m_16_days_VI_Quality,h13v04,2015296122945,1,20497
A2015033,2015-02-02,250m_16_days_NDVI,h13v04,2015296122945,1,944
A2015033,2015-02-02,250m_16_days_EVI,h13v04,2015296122945,1,1084
A2015033,2015-02-02,250m_16_days_composite_day_of_the_year,h13v04,2015296122945,1,37
A2015049,2015-02-18,250m_16_days_blue_reflectance,h13v04,2015296153038,1,2220
A2015049,2015-02-18,250m_16_days_MIR_reflectance,h13v04,2015296153038,1,362
A2015049,2015-02-18,250m_16_days_NIR_reflectance,h13v04,2015296153038,1,4524
A2015049,2015-02-18,250m_16_days_pixel_reliability,h13v04,2015296153038,1,2
A2015049,2015-02-18,250m_16_days_red_reflectance,h13v04,2015296153038,1,3729
A2015049,2015-02-18,250m_16_days_relative_azimuth_angle,h13v04,2015296153038,1,-5470
A2015049,2015-02-18,250m_16_days_sun_zenith_angle,h13v04,2015296153038,1,6280
A2015049,2015-02-18,250m_16_days_view_zenith_angle,h13v04,2015296153038,1,348
A2015049,2015-02-18,250m_16_days_VI_Quality,h13v04,2015296153038,1,18449
A2015049,2015-02-18,250m_16_days_NDVI,h13v04,2015296153038,1,963
A2015049,2015-02-18,250m_16_days_EVI,h13v04,2015296153038,1,1088
A2015049,2015-02-18,250m_16_days_composite_day_of_the_year,h13v04,2015296153038,1,49
A2015065,2015-03-06,250m_16_days_blue_reflectance,h13v04,2015298001147,1,3727
A2015065,2015-03-06,250m_16_days_MIR_reflectance,h13v04,2015298001147,1,407
A2015065,2015-03-06,250m_16_days_NIR_reflectance,h13v04,2015298001147,1,5635
A2015065,2015-03-06,250m_16_days_pixel_reliability,h13v04,2015298001147,1,2
A2015065,2015-03-06,250m_16_days_red_reflectance,h13v04,2015298001147,1,5098
A2015065,2015-03-06,250m_16_days_relative_azimuth_angle,h13v04,2015298001147,1,11846
A2015065,2015-03-06,250m_16_days_sun_zenith_angle,h13v04,2015298001147,1,5374
A2015065,2015-03-06,250m_16_days_view_zenith_angle,h13v04,2015298001147,1,583
A2015065,2015-03-06,250m_16_days_VI_Quality,h13v04,2015298001147,1,18445
A2015065,2015-03-06,250m_16_days_NDVI,h13v04,2015298001147,1,500
A2015065,2015-03-06,250m_16_days_EVI,h13v04,2015298001147,1,647
A2015065,2015-03-06,250m_16_days_composite_day_of_the_year,h13v04,2015298001147,1,72
A2015081,2015-03-22,250m_16_days_blue_reflectance,h13v04,2015298185113,1,1769
A2015081,2015-03-22,250m_16_days_MIR_reflectance,h13v04,2015298185113,1,314
A2015081,2015-03-22,250m_16_days_NIR_reflectance,h13v04,2015298185113,1,3663
A2015081,2015-03-22,250m_16_days_pixel_reliability,h13v04,2015298185113,1,2
A2015081,2015-03-22,250m_16_days_red_reflectance,h13v04,2015298185113,1,2700
A2015081,2015-03-22,250m_16_days_relative_azimuth_angle,h13v04,2015298185113,1,11306
A2015081,2015-03-22,250m_16_days_sun_zenith_angle,h13v04,2015298185113,1,4293
A2015081,2015-03-22,250m_16_days_view_zenith_angle,h13v04,2015298185113,1,5757
A2015081,2015-03-22,250m_16_days_VI_Quality,h13v04,2015298185113,1,20497
A2015081,2015-03-22,250m_16_days_NDVI,h13v04,2015298185113,1,1513
A2015081,2015-03-22,250m_16_days_EVI,h13v04,2015298185113,1,1471
A2015081,2015-03-22,250m_16_days_composite_day_of_the_year,h13v04,2015298185113,1,96
A2015097,2015-04-07,250m_16_days_blue_reflectance,h13v04,2015299004045,1,2552
A2015097,2015-04-07,250m_16_days_MIR_reflectance,h13v04,2015299004045,1,315
