# xllcorner: -4909956.48
# yllcorner: 5512958.05
# cellsize: 231.656358264
# nrows: 1
# ncols: 1
# band: all
# latitude: 49.58
# longitude: -68.1
# site: 14_16
# product: MOD13Q1
# start: 2018-01-01
# end: 2018-12-31
# complete: TRUE
modis_date,calendar_date,band,tile,proc_date,pixel,data
A2018001,2018-01-01,250m_16_days_blue_reflectance,h13v04,2018017224537,1,2600
A2018001,2018-01-01,250m_16_days_MIR_reflectance,h13v04,2018017224537,1,412
A2018001,2018-01-01,250m_16_days_NIR_reflectance,h13v04,2018017224537,1,2536
A2018001,2018-01-01,250m_16_days_pixel_reliability,h13v04,2018017224537,1,2
A2018001,2018-01-01,250m_16_days_red_reflectance,h13v04,2018017224537,1,1860
A2018001,2018-01-01,250m_16_days_relative_azimuth_angle,h13v04,2018017224537,1,11370
A2018001,2018-01-01,250m_16_days_sun_zenith_angle,h13v04,2018017224537,1,7259
A2018001,2018-01-01,250m_16_days_view_zenith_angle,h13v04,2018017224537,1,5153
A2018001,2018-01-01,250m_16_days_VI_Quality,h13v04,2018017224537,1,20505
A2018001,2018-01-01,250m_16_days_NDVI,h13v04,2018017224537,1,1537
A2018001,2018-01-01,250m_16_days_EVI,h13v04,2018017224537,1,994
A2018001,2018-01-01,250m_16_days_composite_day_of_the_year,h13v04,2018017224537,1,1
A2018017,2018-01-17,250m_16_days_blue_reflectance,h13v04,2018033224000,1,2714
A2018017,2018-01-17,250m_16_days_MIR_reflectance,h13v04,2018033224000,1,565
A2018017,2018-01-17,250m_16_days_NIR_reflectance,h13v04,2018033224000,1,3460
A2018017,2018-01-17,250m_16_days_pixel_reliability,h13v04,2018033224000,1,2
A2018017,2018-01-17,250m_16_days_red_reflectance,h13v04,2018033224000,1,2504
A2018017,2018-01-17,250m_16_days_relative_azimuth_angle,h13v04,2018033224000,1,-5982
A2018017,2018-01-17,250m_16_days_sun_zenith_angle,h13v04,2018033224000,1,7477
A2018017,2018-01-17,250m_16_days_view_zenith_angle,h13v04,2018033224000,1,6000
A2018017,2018-01-17,250m_16_days_VI_Quality,h13v04,2018033224000,1,20505
A2018017,2018-01-17,250m_16_days_NDVI,h13v04,2018033224000,1,1602
A2018017,2018-01-17,250m_16_days_EVI,h13v04,2018033224000,1,1227
A2018017,2018-01-17,250m_16_days_composite_day_of_the_year,h13v04,2018033224000,1,17
A2018033,2018-02-02,250m_16_days_blue_reflectance,h13v04,2018049223224,1,3202
A2018033,2018-02-02,250m_16_days_MIR_reflectance,h13v04,2018049223224,1,357
A2018033,2018-02-02,250m_16_days_NIR_reflectance,h13v04,2018049223224,1,3096
A2018033,2018-02-02,250m_16_days_pixel_reliability,h13v04,2018049223224,1,2
A2018033,2018-02-02,250m_16_days_red_reflectance,h13v04,2018049223224,1,2499
A2018033,2018-02-02,250m_16_days_relative_azimuth_angle,h13v04,2018049223224,1,9646
A2018033,2018-02-02,250m_16_days_sun_zenith_angle,h13v04,2018049223224,1,6302
A2018033,2018-02-02,250m_16_days_view_zenith_angle,h13v04,2018049223224,1,133
A2018033,2018-02-02,250m_16_days_VI_Quality,h13v04,2018049223224,1,20501
A2018033,2018-02-02,250m_16_days_NDVI,h13v04,2018049223224,1,1067
A2018033,2018-02-02,250m_16_days_EVI,h13v04,2018049223224,1,781
A2018033,2018-02-02,250m_16_days_composite_day_of_the_year,h13v04,2018049223224,1,48
A2018049,2018-02-18,250m_16_days_blue_reflectance,h13v04,2018066165820,1,1978
A2018049,2018-02-18,250m_16_days_MIR_reflectance,h13v04,2018066165820,1,617
A2018049,2018-02-18,250m_16_days_NIR_reflectance,h13v04,2018066165820,1,3306
A2018049,2018-02-18,250m_16_days_pixel_reliability,h13v04,2018066165820,1,3
